Alt Kategori,Yıl,Ay,Endeks,Ay_Num,Tarih
(Ayakta Tedavi Hizmetleri),2005,Şubat,126.52,2,2005-02-01
(Alkollü İçecekler Ve Tütün),2005,Şubat,124.33,2,2005-02-01
(Orta Öğretim Sonrası Ve Üniversite Öncesi Eğitim),2005,Şubat,129.47,2,2005-02-01
(Telefon Ve Telefaks Ekipmanı),2005,Şubat,89.47,2,2005-02-01
(Orta Öğretim),2005,Şubat,132.65,2,2005-02-01
(Telefon Ve Telefaks Hizmetleri),2005,Şubat,105.59,2,2005-02-01
(Eğlence Ve Kültür),2005,Şubat,113.07,2,2005-02-01
(Okul Öncesi Eğitim Ve İlköğretim),2005,Şubat,132.86,2,2005-02-01
"(Görsel-İşitsel Sistemle (Audıo-Vısual), Fotoğrafla Ve Veri İşlemle İle İlgili Ekipman)",2005,Şubat,90.67,2,2005-02-01
(Eğitim),2005,Şubat,130.31,2,2005-02-01
(Diğer Temel Dayanıklı Eğlence Ve Kültür Araçları),2005,Şubat,115.36,2,2005-02-01
"(Diğer Eğlence Araçları Ve Malzemeleri, Bahçe Ve Evcil Hayvanlara İlişkin Ürünler, Hizmetler)",2005,Şubat,122.42,2,2005-02-01
(Paket Turlar),2005,Şubat,110.47,2,2005-02-01
(Eğlence Ve Kültür Hizmetleri),2005,Şubat,132.04,2,2005-02-01
(Üniversite Eğitimi),2005,Şubat,129.67,2,2005-02-01
(Çeşitli Mal Ve Hizmetler),2005,Şubat,113.12,2,2005-02-01
"(Tıbbi Ürünler, Aletler Ve Malzemeler)",2005,Şubat,95.56,2,2005-02-01
(Sağlık),2005,Şubat,112.38,2,2005-02-01
(Tütün),2005,Şubat,122.06,2,2005-02-01
(Gıda),2005,Şubat,112.75,2,2005-02-01
(Gıda Ve Alkolsüz İçecekler),2005,Şubat,112.92,2,2005-02-01
(Giyim Ve Ayakkabı),2005,Şubat,103.13,2,2005-02-01
(Giyim),2005,Şubat,101.85,2,2005-02-01
(Ayakkabı),2005,Şubat,106.78,2,2005-02-01
"(Konut, Su, Elektrik, Gaz Ve Diğer Yakıtlar)",2005,Şubat,116.11,2,2005-02-01
(Gerçek Kira),2005,Şubat,134.79,2,2005-02-01
(Konutun Bakım Ve Onarımı),2005,Şubat,114.02,2,2005-02-01
Ölçüm bazında,2005,Şubat,114.51,2,2005-02-01
(Su (Şebeke Suyu) Ve Konutla İlgili Çeşitli Hizmetler),2005,Şubat,110.82,2,2005-02-01
"(Elektrik, Gaz Ve Diğer Yakıtlar)",2005,Şubat,109.66,2,2005-02-01
(Başka Yerde Sınıflandırılmayan Diğer Hizmetler),2005,Şubat,139.88,2,2005-02-01
"(Mobilya, Ev Aletleri Ve Ev Bakım Hizmetleri)",2005,Şubat,112.24,2,2005-02-01
(Başka Yerde Sınıflandırılmayan Mali Hizmetler),2005,Şubat,126.59,2,2005-02-01
"(Mobilya, Mefruşat, Halı Ve Diğer Yer Döşemeleri)",2005,Şubat,126.75,2,2005-02-01
(Ev İçi Tekstil),2005,Şubat,110.55,2,2005-02-01
(Sigorta),2005,Şubat,130.53,2,2005-02-01
(Ev Aletleri),2005,Şubat,95.41,2,2005-02-01
(Sosyal Hizmetler),2005,Şubat,129.7,2,2005-02-01
"(Züccaciye, Yemek Takımı Ve Hanehalkı Aletleri)",2005,Şubat,118.03,2,2005-02-01
(Ev Ve Bahçe Araç Gereçleri),2005,Şubat,116.99,2,2005-02-01
(Başka Yerde Sınıflandırılamayan Kişisel Bakım Ürünleri),2005,Şubat,108.23,2,2005-02-01
(Ev Bakım İçin Mal Ve Hizmetler),2005,Şubat,106.96,2,2005-02-01
(Kişisel Bakım),2005,Şubat,113.91,2,2005-02-01
(Alkollü İçecekler),2005,Şubat,157.07,2,2005-02-01
(Alkolsüz İçecekler),2005,Şubat,115.28,2,2005-02-01
"(Gazete, Kitap Ve Kırtasiye)",2005,Şubat,120.26,2,2005-02-01
Ölçüm bazında,2005,Mart,114.81,3,2005-03-01
"(Tıbbi Ürünler, Aletler Ve Malzemeler)",2005,Mart,96.21,3,2005-03-01
(Başka Yerde Sınıflandırılmayan Diğer Hizmetler),2005,Mart,142.35,3,2005-03-01
(Sağlık),2005,Mart,113.38,3,2005-03-01
"(Mobilya, Mefruşat, Halı Ve Diğer Yer Döşemeleri)",2005,Mart,126.0,3,2005-03-01
(Gerçek Kira),2005,Mart,136.23,3,2005-03-01
(Ayakkabı),2005,Mart,104.85,3,2005-03-01
(Gıda),2005,Mart,112.85,3,2005-03-01
(Alkollü İçecekler Ve Tütün),2005,Mart,124.53,3,2005-03-01
(Ulaştırma Hizmetleri),2005,Mart,124.89,3,2005-03-01
(Yataklı Tedavi Hizmetleri),2005,Mart,138.55,3,2005-03-01
"(Görsel-İşitsel Sistemle (Audıo-Vısual), Fotoğrafla Ve Veri İşlemle İle İlgili Ekipman)",2005,Mart,92.64,3,2005-03-01
(Kişisel Bakım),2005,Mart,115.35,3,2005-03-01
"(Mobilya, Ev Aletleri Ve Ev Bakım Hizmetleri)",2005,Mart,112.15,3,2005-03-01
(Başka Yerde Sınıflandırılmayan Mali Hizmetler),2005,Mart,126.59,3,2005-03-01
(Giyim),2005,Mart,97.89,3,2005-03-01
(Düzeyi Belirlenemeyen Eğitim Programları),2005,Mart,124.32,3,2005-03-01
(Üniversite Eğitimi),2005,Mart,129.67,3,2005-03-01
(Telefon Ve Telefaks Ekipmanı),2005,Mart,91.92,3,2005-03-01
(Kişisel Ulaştırma Araçlarının İşletimi),2005,Mart,127.64,3,2005-03-01
(Konaklama Hizmetleri),2005,Mart,128.77,3,2005-03-01
(Başka Yerde Sınıflandırılamayan Kişisel Bakım Ürünleri),2005,Mart,109.95,3,2005-03-01
(Alkolsüz İçecekler),2005,Mart,115.51,3,2005-03-01
(Orta Öğretim),2005,Mart,132.64,3,2005-03-01
(Paket Turlar),2005,Mart,108.63,3,2005-03-01
(Ev İçi Tekstil),2005,Mart,109.84,3,2005-03-01
(Gıda Ve Alkolsüz İçecekler),2005,Mart,113.03,3,2005-03-01
"(Konut, Su, Elektrik, Gaz Ve Diğer Yakıtlar)",2005,Mart,117.37,3,2005-03-01
"(Züccaciye, Yemek Takımı Ve Hanehalkı Aletleri)",2005,Mart,117.94,3,2005-03-01
(Ev Bakım İçin Mal Ve Hizmetler),2005,Mart,107.2,3,2005-03-01
(Ev Ve Bahçe Araç Gereçleri),2005,Mart,117.69,3,2005-03-01
(Tütün),2005,Mart,122.06,3,2005-03-01
(Ev Aletleri),2005,Mart,95.84,3,2005-03-01
(Okul Öncesi Eğitim Ve İlköğretim),2005,Mart,132.93,3,2005-03-01
(Sosyal Hizmetler),2005,Mart,130.61,3,2005-03-01
(Su (Şebeke Suyu) Ve Konutla İlgili Çeşitli Hizmetler),2005,Mart,111.06,3,2005-03-01
(Haberleşme),2005,Mart,104.43,3,2005-03-01
(Ulaştırma),2005,Mart,119.42,3,2005-03-01
(Orta Öğretim Sonrası Ve Üniversite Öncesi Eğitim),2005,Mart,129.22,3,2005-03-01
(Yemek Hizmetleri),2005,Mart,129.64,3,2005-03-01
(Araç Satın Alımı),2005,Mart,100.9,3,2005-03-01
"(Elektrik, Gaz Ve Diğer Yakıtlar)",2005,Mart,111.21,3,2005-03-01
(Ayakta Tedavi Hizmetleri),2005,Mart,125.98,3,2005-03-01
(Eğlence Ve Kültür Hizmetleri),2005,Mart,132.85,3,2005-03-01
"(Gazete, Kitap Ve Kırtasiye)",2005,Mart,113.97,3,2005-03-01
"(Diğer Eğlence Araçları Ve Malzemeleri, Bahçe Ve Evcil Hayvanlara İlişkin Ürünler, Hizmetler)",2005,Mart,123.16,3,2005-03-01
(Konutun Bakım Ve Onarımı),2005,Mart,114.83,3,2005-03-01
(Lokanta Ve Oteller),2005,Mart,129.26,3,2005-03-01
(Giyim Ve Ayakkabı),2005,Mart,99.69,3,2005-03-01
(Eğitim),2005,Mart,130.18,3,2005-03-01
(Sigorta),2005,Mart,128.74,3,2005-03-01
(Telefon Ve Telefaks Hizmetleri),2005,Mart,105.59,3,2005-03-01
(Diğer Temel Dayanıklı Eğlence Ve Kültür Araçları),2005,Mart,113.24,3,2005-03-01
(Çeşitli Mal Ve Hizmetler),2005,Mart,114.66,3,2005-03-01
(Posta Hizmetleri),2005,Mart,125.49,3,2005-03-01
(Alkollü İçecekler),2005,Mart,160.2,3,2005-03-01
(Eğlence Ve Kültür),2005,Mart,111.89,3,2005-03-01
"(Gazete, Kitap Ve Kırtasiye)",2005,Nisan,114.46,4,2005-04-01
(Giyim Ve Ayakkabı),2005,Nisan,108.26,4,2005-04-01
(Ev Bakım İçin Mal Ve Hizmetler),2005,Nisan,107.45,4,2005-04-01
(Posta Hizmetleri),2005,Nisan,125.49,4,2005-04-01
Ölçüm bazında,2005,Nisan,115.63,4,2005-04-01
(Ayakta Tedavi Hizmetleri),2005,Nisan,128.11,4,2005-04-01
(Gıda Ve Alkolsüz İçecekler),2005,Nisan,111.94,4,2005-04-01
"(Züccaciye, Yemek Takımı Ve Hanehalkı Aletleri)",2005,Nisan,117.63,4,2005-04-01
(Yemek Hizmetleri),2005,Nisan,130.21,4,2005-04-01
(Alkollü İçecekler Ve Tütün),2005,Nisan,124.6,4,2005-04-01
(Eğlence Ve Kültür),2005,Nisan,111.0,4,2005-04-01
(Alkolsüz İçecekler),2005,Nisan,116.05,4,2005-04-01
(Diğer Temel Dayanıklı Eğlence Ve Kültür Araçları),2005,Nisan,113.05,4,2005-04-01
(Ev İçi Tekstil),2005,Nisan,110.26,4,2005-04-01
(Telefon Ve Telefaks Hizmetleri),2005,Nisan,105.6,4,2005-04-01
(Ev Aletleri),2005,Nisan,96.87,4,2005-04-01
(Alkollü İçecekler),2005,Nisan,161.32,4,2005-04-01
(Ev Ve Bahçe Araç Gereçleri),2005,Nisan,118.41,4,2005-04-01
"(Diğer Eğlence Araçları Ve Malzemeleri, Bahçe Ve Evcil Hayvanlara İlişkin Ürünler, Hizmetler)",2005,Nisan,124.65,4,2005-04-01
(Eğlence Ve Kültür Hizmetleri),2005,Nisan,132.78,4,2005-04-01
(Tütün),2005,Nisan,122.06,4,2005-04-01
(Gıda),2005,Nisan,111.65,4,2005-04-01
(Telefon Ve Telefaks Ekipmanı),2005,Nisan,89.61,4,2005-04-01
"(Görsel-İşitsel Sistemle (Audıo-Vısual), Fotoğrafla Ve Veri İşlemle İle İlgili Ekipman)",2005,Nisan,91.35,4,2005-04-01
(Paket Turlar),2005,Nisan,106.36,4,2005-04-01
(Ayakkabı),2005,Nisan,115.87,4,2005-04-01
(Orta Öğretim Sonrası Ve Üniversite Öncesi Eğitim),2005,Nisan,129.13,4,2005-04-01
(Başka Yerde Sınıflandırılmayan Diğer Hizmetler),2005,Nisan,144.01,4,2005-04-01
(Üniversite Eğitimi),2005,Nisan,129.67,4,2005-04-01
"(Tıbbi Ürünler, Aletler Ve Malzemeler)",2005,Nisan,96.2,4,2005-04-01
(Su (Şebeke Suyu) Ve Konutla İlgili Çeşitli Hizmetler),2005,Nisan,105.29,4,2005-04-01
(Kişisel Bakım),2005,Nisan,116.16,4,2005-04-01
(Araç Satın Alımı),2005,Nisan,102.86,4,2005-04-01
"(Konut, Su, Elektrik, Gaz Ve Diğer Yakıtlar)",2005,Nisan,117.82,4,2005-04-01
(Çeşitli Mal Ve Hizmetler),2005,Nisan,115.84,4,2005-04-01
(Düzeyi Belirlenemeyen Eğitim Programları),2005,Nisan,123.27,4,2005-04-01
(Lokanta Ve Oteller),2005,Nisan,130.48,4,2005-04-01
(Ulaştırma),2005,Nisan,121.91,4,2005-04-01
(Gerçek Kira),2005,Nisan,137.22,4,2005-04-01
(Yataklı Tedavi Hizmetleri),2005,Nisan,138.6,4,2005-04-01
(Konutun Bakım Ve Onarımı),2005,Nisan,115.29,4,2005-04-01
(Konaklama Hizmetleri),2005,Nisan,130.81,4,2005-04-01
"(Elektrik, Gaz Ve Diğer Yakıtlar)",2005,Nisan,113.35,4,2005-04-01
(Sosyal Hizmetler),2005,Nisan,131.08,4,2005-04-01
(Başka Yerde Sınıflandırılamayan Kişisel Bakım Ürünleri),2005,Nisan,111.71,4,2005-04-01
"(Mobilya, Ev Aletleri Ve Ev Bakım Hizmetleri)",2005,Nisan,112.82,4,2005-04-01
(Giyim),2005,Nisan,105.61,4,2005-04-01
(Ulaştırma Hizmetleri),2005,Nisan,125.28,4,2005-04-01
(Sigorta),2005,Nisan,123.83,4,2005-04-01
(Başka Yerde Sınıflandırılmayan Mali Hizmetler),2005,Nisan,128.68,4,2005-04-01
(Kişisel Ulaştırma Araçlarının İşletimi),2005,Nisan,132.69,4,2005-04-01
"(Mobilya, Mefruşat, Halı Ve Diğer Yer Döşemeleri)",2005,Nisan,127.15,4,2005-04-01
(Eğitim),2005,Nisan,130.06,4,2005-04-01
(Haberleşme),2005,Nisan,104.19,4,2005-04-01
(Okul Öncesi Eğitim Ve İlköğretim),2005,Nisan,132.83,4,2005-04-01
(Orta Öğretim),2005,Nisan,132.65,4,2005-04-01
(Sağlık),2005,Nisan,114.17,4,2005-04-01
(Düzeyi Belirlenemeyen Eğitim Programları),2005,Mayıs,123.64,5,2005-05-01
(Üniversite Eğitimi),2005,Mayıs,129.67,5,2005-05-01
(Alkollü İçecekler Ve Tütün),2005,Mayıs,124.6,5,2005-05-01
(Çeşitli Mal Ve Hizmetler),2005,Mayıs,115.9,5,2005-05-01
(Orta Öğretim Sonrası Ve Üniversite Öncesi Eğitim),2005,Mayıs,130.56,5,2005-05-01
(Başka Yerde Sınıflandırılamayan Kişisel Bakım Ürünleri),2005,Mayıs,111.92,5,2005-05-01
(Yemek Hizmetleri),2005,Mayıs,132.02,5,2005-05-01
(Sosyal Hizmetler),2005,Mayıs,131.37,5,2005-05-01
(Eğitim),2005,Mayıs,130.53,5,2005-05-01
(Ulaştırma),2005,Mayıs,122.12,5,2005-05-01
(Haberleşme),2005,Mayıs,105.05,5,2005-05-01
(Alkolsüz İçecekler),2005,Mayıs,116.51,5,2005-05-01
(Ulaştırma Hizmetleri),2005,Mayıs,126.51,5,2005-05-01
(Kişisel Bakım),2005,Mayıs,116.16,5,2005-05-01
(Yataklı Tedavi Hizmetleri),2005,Mayıs,138.67,5,2005-05-01
(Eğlence Ve Kültür Hizmetleri),2005,Mayıs,133.31,5,2005-05-01
