Alt Kategori,Yıl,Ay,Endeks,Ay_Num,Tarih
(Lokanta Ve Oteller),2009,Ekim,214.21,10,2009-10-01
(Ev Aletleri),2009,Ekim,120.6,10,2009-10-01
(Araç Satın Alımı),2009,Ekim,113.7,10,2009-10-01
(Eğlence Ve Kültür),2009,Ekim,148.75,10,2009-10-01
(Ayakkabı),2009,Ekim,139.06,10,2009-10-01
(Kişisel Bakım),2009,Ekim,143.8,10,2009-10-01
(Gıda Ve Alkolsüz İçecekler),2009,Ekim,169.18,10,2009-10-01
(Orta Öğretim),2009,Ekim,193.08,10,2009-10-01
(Okul Öncesi Eğitim Ve İlköğretim),2009,Ekim,205.9,10,2009-10-01
"(Diğer Eğlence Araçları Ve Malzemeleri, Bahçe Ve Evcil Hayvanlara İlişkin Ürünler, Hizmetler)",2009,Kasım,179.82,11,2009-11-01
(Sağlık),2009,Kasım,127.67,11,2009-11-01
(Çeşitli Mal Ve Hizmetler),2009,Kasım,187.08,11,2009-11-01
(Ulaştırma),2009,Kasım,163.5,11,2009-11-01
"(Züccaciye, Yemek Takımı Ve Hanehalkı Aletleri)",2009,Kasım,156.31,11,2009-11-01
(Ev Bakım İçin Mal Ve Hizmetler),2009,Kasım,145.37,11,2009-11-01
(Başka Yerde Sınıflandırılmayan Mali Hizmetler),2009,Kasım,208.2,11,2009-11-01
(Düzeyi Belirlenemeyen Eğitim Programları),2009,Kasım,156.45,11,2009-11-01
Ölçüm bazında,2009,Kasım,170.01,11,2009-11-01
"(Mobilya, Mefruşat, Halı Ve Diğer Yer Döşemeleri)",2009,Kasım,150.09,11,2009-11-01
(Gıda Ve Alkolsüz İçecekler),2009,Kasım,172.92,11,2009-11-01
(Kişisel Bakım),2009,Kasım,143.69,11,2009-11-01
(Ulaştırma Hizmetleri),2009,Kasım,194.42,11,2009-11-01
(Tütün),2009,Kasım,234.35,11,2009-11-01
(Sigorta),2009,Kasım,163.99,11,2009-11-01
(Alkollü İçecekler Ve Tütün),2009,Kasım,232.99,11,2009-11-01
(Su (Şebeke Suyu) Ve Konutla İlgili Çeşitli Hizmetler),2009,Kasım,170.79,11,2009-11-01
(Orta Öğretim),2009,Kasım,193.12,11,2009-11-01
(Alkollü İçecekler),2009,Kasım,207.96,11,2009-11-01
(Paket Turlar),2009,Kasım,195.61,11,2009-11-01
(Eğlence Ve Kültür),2009,Kasım,148.31,11,2009-11-01
(Eğlence Ve Kültür Hizmetleri),2009,Kasım,181.71,11,2009-11-01
"(Tıbbi Ürünler, Aletler Ve Malzemeler)",2009,Kasım,97.95,11,2009-11-01
(Gıda),2009,Kasım,173.52,11,2009-11-01
(Posta Hizmetleri),2009,Kasım,159.68,11,2009-11-01
"(Elektrik, Gaz Ve Diğer Yakıtlar)",2009,Kasım,193.88,11,2009-11-01
(Araç Satın Alımı),2009,Kasım,115.19,11,2009-11-01
"(Görsel-İşitsel Sistemle (Audıo-Vısual), Fotoğrafla Ve Veri İşlemle İle İlgili Ekipman)",2009,Kasım,79.85,11,2009-11-01
(Gerçek Kira),2009,Kasım,257.43,11,2009-11-01
(Üniversite Eğitimi),2009,Kasım,190.83,11,2009-11-01
(Kişisel Ulaştırma Araçlarının İşletimi),2009,Kasım,181.16,11,2009-11-01
(Giyim),2009,Kasım,124.76,11,2009-11-01
(Alkolsüz İçecekler),2009,Kasım,163.15,11,2009-11-01
(Ev İçi Tekstil),2009,Kasım,127.72,11,2009-11-01
(Diğer Temel Dayanıklı Eğlence Ve Kültür Araçları),2009,Kasım,141.65,11,2009-11-01
(Orta Öğretim Sonrası Ve Üniversite Öncesi Eğitim),2009,Kasım,161.32,11,2009-11-01
(Sosyal Hizmetler),2009,Kasım,203.31,11,2009-11-01
(Haberleşme),2009,Kasım,114.11,11,2009-11-01
(Ayakkabı),2009,Kasım,143.49,11,2009-11-01
(Konutun Bakım Ve Onarımı),2009,Kasım,151.25,11,2009-11-01
(Eğitim),2009,Kasım,181.79,11,2009-11-01
"(Konut, Su, Elektrik, Gaz Ve Diğer Yakıtlar)",2009,Kasım,200.48,11,2009-11-01
(Ev Ve Bahçe Araç Gereçleri),2009,Kasım,167.59,11,2009-11-01
(Yemek Hizmetleri),2009,Kasım,211.35,11,2009-11-01
(Lokanta Ve Oteller),2009,Kasım,215.15,11,2009-11-01
(Başka Yerde Sınıflandırılmayan Diğer Hizmetler),2009,Kasım,239.01,11,2009-11-01
(Ayakta Tedavi Hizmetleri),2009,Kasım,154.44,11,2009-11-01
(Konaklama Hizmetleri),2009,Kasım,208.73,11,2009-11-01
"(Mobilya, Ev Aletleri Ve Ev Bakım Hizmetleri)",2009,Kasım,140.53,11,2009-11-01
(Telefon Ve Telefaks Ekipmanı),2009,Kasım,46.93,11,2009-11-01
(Yataklı Tedavi Hizmetleri),2009,Kasım,157.88,11,2009-11-01
(Başka Yerde Sınıflandırılamayan Kişisel Bakım Ürünleri),2009,Kasım,268.46,11,2009-11-01
(Telefon Ve Telefaks Hizmetleri),2009,Kasım,124.38,11,2009-11-01
(Ev Aletleri),2009,Kasım,117.03,11,2009-11-01
(Okul Öncesi Eğitim Ve İlköğretim),2009,Kasım,206.04,11,2009-11-01
(Giyim Ve Ayakkabı),2009,Kasım,129.42,11,2009-11-01
"(Gazete, Kitap Ve Kırtasiye)",2009,Kasım,205.85,11,2009-11-01
(Sağlık),2009,Aralık,127.11,12,2009-12-01
(Giyim Ve Ayakkabı),2009,Aralık,125.81,12,2009-12-01
(Lokanta Ve Oteller),2009,Aralık,216.5,12,2009-12-01
"(Mobilya, Ev Aletleri Ve Ev Bakım Hizmetleri)",2009,Aralık,140.02,12,2009-12-01
(Ev Bakım İçin Mal Ve Hizmetler),2009,Aralık,144.61,12,2009-12-01
(Posta Hizmetleri),2009,Aralık,159.68,12,2009-12-01
(Haberleşme),2009,Aralık,115.17,12,2009-12-01
"(Züccaciye, Yemek Takımı Ve Hanehalkı Aletleri)",2009,Aralık,156.88,12,2009-12-01
"(Konut, Su, Elektrik, Gaz Ve Diğer Yakıtlar)",2009,Aralık,201.47,12,2009-12-01
(Ulaştırma),2009,Aralık,163.08,12,2009-12-01
(Eğlence Ve Kültür Hizmetleri),2009,Aralık,179.33,12,2009-12-01
"(Elektrik, Gaz Ve Diğer Yakıtlar)",2009,Aralık,195.43,12,2009-12-01
(Ev Ve Bahçe Araç Gereçleri),2009,Aralık,167.8,12,2009-12-01
(Orta Öğretim),2009,Aralık,193.12,12,2009-12-01
(Gıda Ve Alkolsüz İçecekler),2009,Aralık,176.76,12,2009-12-01
"(Görsel-İşitsel Sistemle (Audıo-Vısual), Fotoğrafla Ve Veri İşlemle İle İlgili Ekipman)",2009,Aralık,79.69,12,2009-12-01
(Yataklı Tedavi Hizmetleri),2009,Aralık,157.93,12,2009-12-01
(Yemek Hizmetleri),2009,Aralık,212.8,12,2009-12-01
(Telefon Ve Telefaks Hizmetleri),2009,Aralık,125.69,12,2009-12-01
(Giyim),2009,Aralık,121.25,12,2009-12-01
Ölçüm bazında,2009,Aralık,170.91,12,2009-12-01
(Ulaştırma Hizmetleri),2009,Aralık,195.75,12,2009-12-01
(Ayakta Tedavi Hizmetleri),2009,Aralık,154.52,12,2009-12-01
(Üniversite Eğitimi),2009,Aralık,190.83,12,2009-12-01
(Gıda),2009,Aralık,177.59,12,2009-12-01
(Konaklama Hizmetleri),2009,Aralık,208.57,12,2009-12-01
(Okul Öncesi Eğitim Ve İlköğretim),2009,Aralık,206.17,12,2009-12-01
(Sosyal Hizmetler),2009,Aralık,202.46,12,2009-12-01
(Araç Satın Alımı),2009,Aralık,113.19,12,2009-12-01
(Alkolsüz İçecekler),2009,Aralık,163.77,12,2009-12-01
(Sigorta),2009,Aralık,166.07,12,2009-12-01
(Gerçek Kira),2009,Aralık,258.09,12,2009-12-01
"(Gazete, Kitap Ve Kırtasiye)",2009,Aralık,206.97,12,2009-12-01
"(Mobilya, Mefruşat, Halı Ve Diğer Yer Döşemeleri)",2009,Aralık,148.48,12,2009-12-01
(Orta Öğretim Sonrası Ve Üniversite Öncesi Eğitim),2009,Aralık,161.31,12,2009-12-01
(Kişisel Ulaştırma Araçlarının İşletimi),2009,Aralık,181.86,12,2009-12-01
(Ayakkabı),2009,Aralık,139.58,12,2009-12-01
(Ev İçi Tekstil),2009,Aralık,127.52,12,2009-12-01
(Başka Yerde Sınıflandırılamayan Kişisel Bakım Ürünleri),2009,Aralık,273.53,12,2009-12-01
(Tütün),2009,Aralık,234.35,12,2009-12-01
(Kişisel Bakım),2009,Aralık,143.22,12,2009-12-01
(Başka Yerde Sınıflandırılmayan Mali Hizmetler),2009,Aralık,208.2,12,2009-12-01
(Paket Turlar),2009,Aralık,190.71,12,2009-12-01
(Başka Yerde Sınıflandırılmayan Diğer Hizmetler),2009,Aralık,239.07,12,2009-12-01
(Eğlence Ve Kültür),2009,Aralık,147.74,12,2009-12-01
(Eğitim),2009,Aralık,181.79,12,2009-12-01
(Düzeyi Belirlenemeyen Eğitim Programları),2009,Aralık,156.17,12,2009-12-01
(Alkollü İçecekler Ve Tütün),2009,Aralık,232.88,12,2009-12-01
(Konutun Bakım Ve Onarımı),2009,Aralık,151.5,12,2009-12-01
(Diğer Temel Dayanıklı Eğlence Ve Kültür Araçları),2009,Aralık,142.64,12,2009-12-01
(Telefon Ve Telefaks Ekipmanı),2009,Aralık,46.72,12,2009-12-01
"(Tıbbi Ürünler, Aletler Ve Malzemeler)",2009,Aralık,96.79,12,2009-12-01
"(Diğer Eğlence Araçları Ve Malzemeleri, Bahçe Ve Evcil Hayvanlara İlişkin Ürünler, Hizmetler)",2009,Aralık,180.48,12,2009-12-01
(Ev Aletleri),2009,Aralık,117.3,12,2009-12-01
(Su (Şebeke Suyu) Ve Konutla İlgili Çeşitli Hizmetler),2009,Aralık,170.91,12,2009-12-01
(Çeşitli Mal Ve Hizmetler),2009,Aralık,188.01,12,2009-12-01
(Alkollü İçecekler),2009,Aralık,206.1,12,2009-12-01
(Diğer Temel Dayanıklı Eğlence Ve Kültür Araçları),2010,Ocak,142.62,1,2010-01-01
"(Gazete, Kitap Ve Kırtasiye)",2010,Ocak,209.68,1,2010-01-01
(Su (Şebeke Suyu) Ve Konutla İlgili Çeşitli Hizmetler),2010,Ocak,176.52,1,2010-01-01
"(Züccaciye, Yemek Takımı Ve Hanehalkı Aletleri)",2010,Ocak,157.12,1,2010-01-01
(Gıda Ve Alkolsüz İçecekler),2010,Ocak,179.55,1,2010-01-01
"(Diğer Eğlence Araçları Ve Malzemeleri, Bahçe Ve Evcil Hayvanlara İlişkin Ürünler, Hizmetler)",2010,Ocak,179.58,1,2010-01-01
(Başka Yerde Sınıflandırılmayan Mali Hizmetler),2010,Ocak,217.7,1,2010-01-01
(Ulaştırma Hizmetleri),2010,Ocak,198.68,1,2010-01-01
(Giyim),2010,Ocak,111.21,1,2010-01-01
(Yataklı Tedavi Hizmetleri),2010,Ocak,158.36,1,2010-01-01
(Üniversite Eğitimi),2010,Ocak,190.83,1,2010-01-01
(Gıda),2010,Ocak,180.56,1,2010-01-01
(Orta Öğretim Sonrası Ve Üniversite Öncesi Eğitim),2010,Ocak,161.53,1,2010-01-01
(Konutun Bakım Ve Onarımı),2010,Ocak,151.69,1,2010-01-01
(Çeşitli Mal Ve Hizmetler),2010,Ocak,188.44,1,2010-01-01
(Haberleşme),2010,Ocak,114.89,1,2010-01-01
"(Mobilya, Ev Aletleri Ve Ev Bakım Hizmetleri)",2010,Ocak,141.02,1,2010-01-01
(Tütün),2010,Ocak,287.24,1,2010-01-01
"(Konut, Su, Elektrik, Gaz Ve Diğer Yakıtlar)",2010,Ocak,204.52,1,2010-01-01
(Ev Ve Bahçe Araç Gereçleri),2010,Ocak,167.98,1,2010-01-01
(Telefon Ve Telefaks Ekipmanı),2010,Ocak,45.56,1,2010-01-01
(Eğlence Ve Kültür Hizmetleri),2010,Ocak,180.44,1,2010-01-01
"(Görsel-İşitsel Sistemle (Audıo-Vısual), Fotoğrafla Ve Veri İşlemle İle İlgili Ekipman)",2010,Ocak,78.36,1,2010-01-01
(Ulaştırma),2010,Ocak,168.84,1,2010-01-01
(Düzeyi Belirlenemeyen Eğitim Programları),2010,Ocak,156.3,1,2010-01-01
(Sosyal Hizmetler),2010,Ocak,202.43,1,2010-01-01
"(Elektrik, Gaz Ve Diğer Yakıtlar)",2010,Ocak,199.25,1,2010-01-01
(Telefon Ve Telefaks Hizmetleri),2010,Ocak,125.69,1,2010-01-01
Ölçüm bazında,2010,Ocak,174.07,1,2010-01-01
(Kişisel Bakım),2010,Ocak,142.88,1,2010-01-01
(Okul Öncesi Eğitim Ve İlköğretim),2010,Ocak,206.19,1,2010-01-01
(Yemek Hizmetleri),2010,Ocak,215.2,1,2010-01-01
"(Tıbbi Ürünler, Aletler Ve Malzemeler)",2010,Ocak,96.11,1,2010-01-01
(Ayakta Tedavi Hizmetleri),2010,Ocak,154.96,1,2010-01-01
(Başka Yerde Sınıflandırılmayan Diğer Hizmetler),2010,Ocak,252.24,1,2010-01-01
(Ev İçi Tekstil),2010,Ocak,127.56,1,2010-01-01
(Eğitim),2010,Ocak,181.91,1,2010-01-01
(Sağlık),2010,Ocak,126.97,1,2010-01-01
(Ev Bakım İçin Mal Ve Hizmetler),2010,Ocak,144.92,1,2010-01-01
(Başka Yerde Sınıflandırılamayan Kişisel Bakım Ürünleri),2010,Ocak,269.12,1,2010-01-01
(Giyim Ve Ayakkabı),2010,Ocak,115.49,1,2010-01-01
(Alkollü İçecekler Ve Tütün),2010,Ocak,284.2,1,2010-01-01
(Alkollü İçecekler),2010,Ocak,226.62,1,2010-01-01
(Sigorta),2010,Ocak,171.14,1,2010-01-01
(Ev Aletleri),2010,Ocak,118.54,1,2010-01-01
(Orta Öğretim),2010,Ocak,193.3,1,2010-01-01
(Araç Satın Alımı),2010,Ocak,115.11,1,2010-01-01
"(Mobilya, Mefruşat, Halı Ve Diğer Yer Döşemeleri)",2010,Ocak,150.37,1,2010-01-01
(Konaklama Hizmetleri),2010,Ocak,210.46,1,2010-01-01
(Gerçek Kira),2010,Ocak,259.11,1,2010-01-01
(Kişisel Ulaştırma Araçlarının İşletimi),2010,Ocak,195.14,1,2010-01-01
(Ayakkabı),2010,Ocak,128.47,1,2010-01-01
(Eğlence Ve Kültür),2010,Ocak,147.34,1,2010-01-01
(Posta Hizmetleri),2010,Ocak,159.68,1,2010-01-01
(Lokanta Ve Oteller),2010,Ocak,218.9,1,2010-01-01
(Paket Turlar),2010,Ocak,188.8,1,2010-01-01
(Alkolsüz İçecekler),2010,Ocak,164.31,1,2010-01-01
(Diğer Temel Dayanıklı Eğlence Ve Kültür Araçları),2010,Şubat,142.78,2,2010-02-01
(Sağlık),2010,Şubat,126.71,2,2010-02-01
(Alkolsüz İçecekler),2010,Şubat,164.27,2,2010-02-01
"(Diğer Eğlence Araçları Ve Malzemeleri, Bahçe Ve Evcil Hayvanlara İlişkin Ürünler, Hizmetler)",2010,Şubat,179.88,2,2010-02-01
(Ev Bakım İçin Mal Ve Hizmetler),2010,Şubat,142.74,2,2010-02-01
"(Mobilya, Mefruşat, Halı Ve Diğer Yer Döşemeleri)",2010,Şubat,150.57,2,2010-02-01
(Ev Ve Bahçe Araç Gereçleri),2010,Şubat,168.15,2,2010-02-01
(Başka Yerde Sınıflandırılmayan Diğer Hizmetler),2010,Şubat,252.21,2,2010-02-01
"(Elektrik, Gaz Ve Diğer Yakıtlar)",2010,Şubat,200.51,2,2010-02-01
(Başka Yerde Sınıflandırılmayan Mali Hizmetler),2010,Şubat,217.7,2,2010-02-01
(Konaklama Hizmetleri),2010,Şubat,210.4,2,2010-02-01
(Su (Şebeke Suyu) Ve Konutla İlgili Çeşitli Hizmetler),2010,Şubat,176.43,2,2010-02-01
(Ayakkabı),2010,Şubat,122.37,2,2010-02-01
(Giyim),2010,Şubat,105.21,2,2010-02-01
(Çeşitli Mal Ve Hizmetler),2010,Şubat,188.85,2,2010-02-01
(Kişisel Bakım),2010,Şubat,143.43,2,2010-02-01
"(Konut, Su, Elektrik, Gaz Ve Diğer Yakıtlar)",2010,Şubat,205.32,2,2010-02-01
(Konutun Bakım Ve Onarımı),2010,Şubat,152.11,2,2010-02-01
(Başka Yerde Sınıflandırılamayan Kişisel Bakım Ürünleri),2010,Şubat,268.63,2,2010-02-01
(Gerçek Kira),2010,Şubat,259.84,2,2010-02-01
(Sosyal Hizmetler),2010,Şubat,202.92,2,2010-02-01
(Sigorta),2010,Şubat,173.01,2,2010-02-01
(Yemek Hizmetleri),2010,Şubat,217.95,2,2010-02-01
(Lokanta Ve Oteller),2010,Şubat,221.46,2,2010-02-01
Ölçüm bazında,2010,Şubat,176.59,2,2010-02-01
"(Gazete, Kitap Ve Kırtasiye)",2010,Şubat,206.42,2,2010-02-01
(Alkollü İçecekler Ve Tütün),2010,Şubat,294.78,2,2010-02-01
(Paket Turlar),2010,Şubat,188.94,2,2010-02-01
(Eğitim),2010,Şubat,181.94,2,2010-02-01
(Ev Aletleri),2010,Şubat,119.37,2,2010-02-01
(Alkollü İçecekler),2010,Şubat,227.24,2,2010-02-01
(Okul Öncesi Eğitim Ve İlköğretim),2010,Şubat,206.19,2,2010-02-01
(Orta Öğretim),2010,Şubat,194.38,2,2010-02-01
(Ev İçi Tekstil),2010,Şubat,127.68,2,2010-02-01
(Tütün),2010,Şubat,298.32,2,2010-02-01
(Orta Öğretim Sonrası Ve Üniversite Öncesi Eğitim),2010,Şubat,161.12,2,2010-02-01
(Üniversite Eğitimi),2010,Şubat,190.83,2,2010-02-01
(Düzeyi Belirlenemeyen Eğitim Programları),2010,Şubat,155.49,2,2010-02-01
(Giyim Ve Ayakkabı),2010,Şubat,109.43,2,2010-02-01
"(Mobilya, Ev Aletleri Ve Ev Bakım Hizmetleri)",2010,Şubat,140.86,2,2010-02-01
(Eğlence Ve Kültür Hizmetleri),2010,Şubat,179.7,2,2010-02-01
(Gıda),2010,Şubat,190.24,2,2010-02-01
"(Züccaciye, Yemek Takımı Ve Hanehalkı Aletleri)",2010,Şubat,157.74,2,2010-02-01
(Ayakta Tedavi Hizmetleri),2010,Şubat,155.15,2,2010-02-01
(Yataklı Tedavi Hizmetleri),2010,Şubat,158.45,2,2010-02-01
"(Tıbbi Ürünler, Aletler Ve Malzemeler)",2010,Şubat,95.44,2,2010-02-01
(Ulaştırma),2010,Şubat,169.55,2,2010-02-01
(Araç Satın Alımı),2010,Şubat,115.06,2,2010-02-01
(Gıda Ve Alkolsüz İçecekler),2010,Şubat,188.55,2,2010-02-01
"(Görsel-İşitsel Sistemle (Audıo-Vısual), Fotoğrafla Ve Veri İşlemle İle İlgili Ekipman)",2010,Şubat,78.07,2,2010-02-01
(Eğlence Ve Kültür),2010,Şubat,146.5,2,2010-02-01
(Posta Hizmetleri),2010,Şubat,159.68,2,2010-02-01
(Telefon Ve Telefaks Hizmetleri),2010,Şubat,125.69,2,2010-02-01
(Telefon Ve Telefaks Ekipmanı),2010,Şubat,46.1,2,2010-02-01
(Ulaştırma Hizmetleri),2010,Şubat,199.93,2,2010-02-01
(Kişisel Ulaştırma Araçlarının İşletimi),2010,Şubat,196.65,2,2010-02-01
(Haberleşme),2010,Şubat,115.02,2,2010-02-01
(Başka Yerde Sınıflandırılamayan Kişisel Bakım Ürünleri),2010,Mart,276.03,3,2010-03-01
(Diğer Temel Dayanıklı Eğlence Ve Kültür Araçları),2010,Mart,142.76,3,2010-03-01
(Tütün),2010,Mart,298.32,3,2010-03-01
(Lokanta Ve Oteller),2010,Mart,223.64,3,2010-03-01
(Ulaştırma Hizmetleri),2010,Mart,200.53,3,2010-03-01
(Eğlence Ve Kültür),2010,Mart,147.51,3,2010-03-01
(Başka Yerde Sınıflandırılmayan Mali Hizmetler),2010,Mart,217.7,3,2010-03-01
(Eğitim),2010,Mart,182.59,3,2010-03-01
(Haberleşme),2010,Mart,118.63,3,2010-03-01
(Paket Turlar),2010,Mart,192.29,3,2010-03-01
"(Mobilya, Mefruşat, Halı Ve Diğer Yer Döşemeleri)",2010,Mart,150.49,3,2010-03-01
(Okul Öncesi Eğitim Ve İlköğretim),2010,Mart,206.19,3,2010-03-01
(Konutun Bakım Ve Onarımı),2010,Mart,152.5,3,2010-03-01
(Ayakkabı),2010,Mart,125.05,3,2010-03-01
(Yemek Hizmetleri),2010,Mart,220.21,3,2010-03-01
(Su (Şebeke Suyu) Ve Konutla İlgili Çeşitli Hizmetler),2010,Mart,178.19,3,2010-03-01
(Üniversite Eğitimi),2010,Mart,190.83,3,2010-03-01
(Kişisel Bakım),2010,Mart,142.97,3,2010-03-01
"(Konut, Su, Elektrik, Gaz Ve Diğer Yakıtlar)",2010,Mart,205.73,3,2010-03-01
(Ulaştırma),2010,Mart,170.79,3,2010-03-01
(Sigorta),2010,Mart,173.98,3,2010-03-01
(Eğlence Ve Kültür Hizmetleri),2010,Mart,182.31,3,2010-03-01
(Alkolsüz İçecekler),2010,Mart,164.23,3,2010-03-01
"(Görsel-İşitsel Sistemle (Audıo-Vısual), Fotoğrafla Ve Veri İşlemle İle İlgili Ekipman)",2010,Mart,78.88,3,2010-03-01
(Sağlık),2010,Mart,126.76,3,2010-03-01
(Araç Satın Alımı),2010,Mart,115.63,3,2010-03-01
"(Züccaciye, Yemek Takımı Ve Hanehalkı Aletleri)",2010,Mart,158.35,3,2010-03-01
(Orta Öğretim Sonrası Ve Üniversite Öncesi Eğitim),2010,Mart,162.17,3,2010-03-01
"(Tıbbi Ürünler, Aletler Ve Malzemeler)",2010,Mart,95.47,3,2010-03-01
(Ev Aletleri),2010,Mart,118.76,3,2010-03-01
(Telefon Ve Telefaks Ekipmanı),2010,Mart,45.85,3,2010-03-01
(Başka Yerde Sınıflandırılmayan Diğer Hizmetler),2010,Mart,254.16,3,2010-03-01
"(Diğer Eğlence Araçları Ve Malzemeleri, Bahçe Ve Evcil Hayvanlara İlişkin Ürünler, Hizmetler)",2010,Mart,180.41,3,2010-03-01
(Kişisel Ulaştırma Araçlarının İşletimi),2010,Mart,199.24,3,2010-03-01
(Orta Öğretim),2010,Mart,195.58,3,2010-03-01
(Çeşitli Mal Ve Hizmetler),2010,Mart,190.17,3,2010-03-01
(Giyim),2010,Mart,105.44,3,2010-03-01
(Ayakta Tedavi Hizmetleri),2010,Mart,155.23,3,2010-03-01
(Alkollü İçecekler),2010,Mart,228.1,3,2010-03-01
"(Mobilya, Ev Aletleri Ve Ev Bakım Hizmetleri)",2010,Mart,140.23,3,2010-03-01
(Gerçek Kira),2010,Mart,260.58,3,2010-03-01
(Konaklama Hizmetleri),2010,Mart,211.27,3,2010-03-01
"(Elektrik, Gaz Ve Diğer Yakıtlar)",2010,Mart,200.25,3,2010-03-01
(Düzeyi Belirlenemeyen Eğitim Programları),2010,Mart,156.0,3,2010-03-01
(Yataklı Tedavi Hizmetleri),2010,Mart,158.63,3,2010-03-01
(Ev Bakım İçin Mal Ve Hizmetler),2010,Mart,140.92,3,2010-03-01
(Alkollü İçecekler Ve Tütün),2010,Mart,294.82,3,2010-03-01
(Posta Hizmetleri),2010,Mart,207.65,3,2010-03-01
Ölçüm bazında,2010,Mart,177.62,3,2010-03-01
(Sosyal Hizmetler),2010,Mart,203.6,3,2010-03-01
(Ev İçi Tekstil),2010,Mart,127.45,3,2010-03-01
(Telefon Ve Telefaks Hizmetleri),2010,Mart,130.1,3,2010-03-01
(Gıda Ve Alkolsüz İçecekler),2010,Mart,189.72,3,2010-03-01
"(Gazete, Kitap Ve Kırtasiye)",2010,Mart,204.88,3,2010-03-01
(Ev Ve Bahçe Araç Gereçleri),2010,Mart,168.34,3,2010-03-01
(Giyim Ve Ayakkabı),2010,Mart,110.19,3,2010-03-01
(Gıda),2010,Mart,191.5,3,2010-03-01
(Ayakta Tedavi Hizmetleri),2010,Nisan,154.84,4,2010-04-01
(Ev Aletleri),2010,Nisan,118.69,4,2010-04-01
(Alkollü İçecekler),2010,Nisan,229.12,4,2010-04-01
(Eğlence Ve Kültür),2010,Nisan,146.8,4,2010-04-01
"(Görsel-İşitsel Sistemle (Audıo-Vısual), Fotoğrafla Ve Veri İşlemle İle İlgili Ekipman)",2010,Nisan,77.26,4,2010-04-01
(Tütün),2010,Nisan,298.32,4,2010-04-01
(Konaklama Hizmetleri),2010,Nisan,213.48,4,2010-04-01
Ölçüm bazında,2010,Nisan,178.68,4,2010-04-01
(Ayakkabı),2010,Nisan,136.11,4,2010-04-01
(Yataklı Tedavi Hizmetleri),2010,Nisan,172.89,4,2010-04-01
(Kişisel Ulaştırma Araçlarının İşletimi),2010,Nisan,198.66,4,2010-04-01
"(Elektrik, Gaz Ve Diğer Yakıtlar)",2010,Nisan,200.37,4,2010-04-01
(Orta Öğretim Sonrası Ve Üniversite Öncesi Eğitim),2010,Nisan,161.54,4,2010-04-01
(Su (Şebeke Suyu) Ve Konutla İlgili Çeşitli Hizmetler),2010,Nisan,178.19,4,2010-04-01
(Ulaştırma Hizmetleri),2010,Nisan,200.94,4,2010-04-01
(Üniversite Eğitimi),2010,Nisan,190.83,4,2010-04-01
(Başka Yerde Sınıflandırılamayan Kişisel Bakım Ürünleri),2010,Nisan,274.83,4,2010-04-01
(Konutun Bakım Ve Onarımı),2010,Nisan,152.75,4,2010-04-01
"(Mobilya, Ev Aletleri Ve Ev Bakım Hizmetleri)",2010,Nisan,141.15,4,2010-04-01
(Araç Satın Alımı),2010,Nisan,115.92,4,2010-04-01
(Haberleşme),2010,Nisan,112.9,4,2010-04-01
(Gerçek Kira),2010,Nisan,261.22,4,2010-04-01
(Orta Öğretim),2010,Nisan,196.17,4,2010-04-01
"(Mobilya, Mefruşat, Halı Ve Diğer Yer Döşemeleri)",2010,Nisan,154.4,4,2010-04-01
(Posta Hizmetleri),2010,Nisan,207.65,4,2010-04-01
"(Konut, Su, Elektrik, Gaz Ve Diğer Yakıtlar)",2010,Nisan,205.97,4,2010-04-01
(Çeşitli Mal Ve Hizmetler),2010,Nisan,190.08,4,2010-04-01
(Ulaştırma),2010,Nisan,170.87,4,2010-04-01
(Başka Yerde Sınıflandırılmayan Mali Hizmetler),2010,Nisan,217.7,4,2010-04-01
(Telefon Ve Telefaks Ekipmanı),2010,Nisan,45.99,4,2010-04-01
(Sosyal Hizmetler),2010,Nisan,203.75,4,2010-04-01
(Ev İçi Tekstil),2010,Nisan,130.75,4,2010-04-01
(Giyim),2010,Nisan,117.18,4,2010-04-01
(Telefon Ve Telefaks Hizmetleri),2010,Nisan,123.12,4,2010-04-01
(Okul Öncesi Eğitim Ve İlköğretim),2010,Nisan,206.18,4,2010-04-01
(Giyim Ve Ayakkabı),2010,Nisan,121.85,4,2010-04-01
(Düzeyi Belirlenemeyen Eğitim Programları),2010,Nisan,155.11,4,2010-04-01
(Sigorta),2010,Nisan,173.07,4,2010-04-01
"(Züccaciye, Yemek Takımı Ve Hanehalkı Aletleri)",2010,Nisan,158.6,4,2010-04-01
(Kişisel Bakım),2010,Nisan,143.23,4,2010-04-01
(Başka Yerde Sınıflandırılmayan Diğer Hizmetler),2010,Nisan,254.16,4,2010-04-01
"(Diğer Eğlence Araçları Ve Malzemeleri, Bahçe Ve Evcil Hayvanlara İlişkin Ürünler, Hizmetler)",2010,Nisan,181.69,4,2010-04-01
(Gıda),2010,Nisan,191.72,4,2010-04-01
"(Tıbbi Ürünler, Aletler Ve Malzemeler)",2010,Nisan,95.61,4,2010-04-01
(Alkolsüz İçecekler),2010,Nisan,165.16,4,2010-04-01
(Alkollü İçecekler Ve Tütün),2010,Nisan,294.87,4,2010-04-01
(Gıda Ve Alkolsüz İçecekler),2010,Nisan,189.99,4,2010-04-01
(Diğer Temel Dayanıklı Eğlence Ve Kültür Araçları),2010,Nisan,143.46,4,2010-04-01
